Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
Aaviku Puhkemajad Vanamõisas,"Aaviku Puhkemajad  asub Kuressaarest 13 km Vätta poole, Vanamõisa külas asuv talukompleks. Vanas Talumajas on neli magamistuba  8-le inimesele, koos lisavooditega 10-le inimesele. Talumajas on suur peoruum, mis on sobilik konverentside, koolituste ja pidude korraldamiseks kuni 30 inimesele. Peoruumi saab rentida ainult koos kogu talukompleksiga. Saunamaja on 6-le inimesele, kahe magamistoaga, saun ning kööginurk kõige vajalikuga.",Majutus,Puhkemaja,Telkimisplatsid,,loortsi@hot.ee,+372 5193 2374,"Loortsi, Vanamõisa küla, Saaremaa vald, Saare maakond",https://www.booking.com/hotel/ee/aaviku-holiday-houses.et.html,,"Külmutuskapp,Parkimine tasuta,Peretoad,Puhkeala/piknikuplats,Saun,WC",,,,,,10742659.0,Aavik & Ko OÜ,"Loortsi küla, Vanamõisa küla, Saaremaa vald, Saare maakond",+372 5176107,loortsi@hot.ee,http://www.hot.ee/l/loortsi,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Mai - 30 September,Ainult ettetellimisel,,"""Puudub viidastus või tähistus""",6.0,12.0,0.0,0.0,0.0,0.0
Aavikunurga puhketalu,"Aavikunurga puhketalu on kultuuriküllase hõnguga puhkekoht. Tere tulemast puhkama, suvepäevadele või pulmi pidama! Kadakaste välude vahel asuv puhketalu on värskelt taastatud ja Saaremaale omane rehielamu kompleks.Sinu käsutuses on toad avaras talumajas või romantilistes vanades aitades, kaks sauna ja kümblustünn, nõupidamisruum, peotelgid, grillikoda koos suitsuahjuga ja avar õu. Tule proovi kangastelgedel kududa, naudi käsitööd ja kunsti või kalasta. Soovijad saavad minna merele kaasa kalavõrke sisse laskma.",Majutus,Kodumajutus,,,aavikunurga@aavikunurga.ee,+372 5101585,"Nurga, Randvere küla, Saaremaa vald, Saare maakond",,,"Haagissuvila/karavani parkla,Külmutuskapp,Parkimine tasuta,Pesumasin,WC,WIFI",,https://www.facebook.com/aavikunurga/?ref=br_rs,,,,11259037.0,Aavikunurga OÜ,"Aavikunurga, Randvere küla, Saaremaa vald, Saare maakond",,ullepurga@yahoo.com,,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,12.0,30.0,0.0,16.0,5.0,6.0
Adami talu Lahemaal,"Kui sa otsid vaikust ja rahu, siis tule puhkama Lahemaale Adami tallu, kus on kõigi mugavustega majutus kuni 8-le inimesele. 
Ideaalne koht linnakärast eemale pääsemiseks ja tööstressi unustamiseks!
Siin on mõnusad metsarajad, jalgrattateed ja jalutuskäigu kaugusel puhas meri ning pikk kaunis liivarand. Läheduses asuvad mitmed ajaloolised mõisad ja vaatamisväärsused.",Majutus,Kodumajutus,,,adamitalu@gmail.com,+372 558 4538,"Adami, Vainupea küla, Haljala vald, Lääne-Viru maakond",https://www.booking.com/hotel/ee/adami-holiday-house.et.html,,"Parkimine tasuta,Saun,Toitlustus",,https://www.facebook.com/adamiguesthouse,https://www.instagram.com/adamitalu,,,11048180.0,Adami Turismitalu Osaühing,"Vainupea küla, Haljala vald, Lääne-Viru maakond",+372 5175747,adamitalu@gmail.com,http://www.adami.ee,Põhja-Eesti,Lahemaa rahvuspark,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,10.0,10.0,6.0,0.0,0.0
Adoryal Hotell,"Adoryal Hotell on suurepärase asukohaga hotell, mille vahetus läheduses asub Tallinna Sadam ning Vanalinn. Kuigi hotell asub tiheasustusega südalinnas, siis ootab sind ikkagi imeline puhkus olles südalinna keskel, kuid linnamürast eemal.Hotelli peamine pluss on vaadete rikkus, Deluxe tubades on olemas rõdud, millelt saad nautida vaadet sadamale kui ka vanalinnale. Hotelli interjöör on luksuslik ja stiilipuhas, oleme kõigis tubades taganud kõrgeima kvaliteedi, et meie külastajad saaksid nautida tõelist linnapuhkust. Naudi puhkust üksinda, pere, sõpradega või oma neljajalgsega!",Majutus,Hotell,,https://www.adoryalhotell.ee/et/,info@adoryal.ee,+372 6827600,"Sadama tn 6, Kesklinna linnaosa, Tallinn, Harju maakond",https://www.book-secure.com/index.php?s=results&property=eetal29155&arrival=2024-12-03&departure=2024-12-04&adults1=1&children1=0&locale=en_GB&currency=EUR&stid=3bz0w970n,,"Laste mängutuba,Parkimine tasuline,WC,WIFI",,,,,,10116235.0,Sadamarket OÜ,"Kai tänav, Kesklinna linnaosa, Tallinn, Harju maakond",,info@sadamarket.ee,,Tallinn,,,Hooajaliselt,1 Jaanuar - 30 Aprill,Ööpäevaringselt,00:00-24:00,,48.0,108.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Mai - 30 September,Ööpäevaringselt,00:00-24:00,,48.0,109.0,0.0,0.0,0.0,0.0
Adu-Jaani Kodumajutus,"Adu-Jaani Kodumajutus pakub Sulle võimalust olla eemal linnakärast ja nautida puhast loodust ja seda kõike soodsate hindadega.Valides Adu- Jaani Kodumajutuse on Teie käsutuses aiamaja, külalistemaja ja jahimaja. Aiamaja on mõeldud kuni neljale inimesele. Külalistemajas on võimalus valida nelja erineva toa vahel.Jahimajas on üks majutusruum kuni kuuele inimesele, saun ja seminariruum kuni 30-le inimesele.Privaatsemaks äraolemiseks on võimalus kasutada aiamaja, mis mahutab kuni neli inimest.",Majutus,Kodumajutus,,,adujaani@gmail.com,+372 53427039,"Mäeristi, Mätja küla, Saaremaa vald, Saare maakond",,,"Külmutuskapp,Parkimine tasuta,WC,WIFI",,https://www.facebook.com/AduJaaniKodumajutus/?fref=ts,,,,11584547.0,Kati Haamer,"Adu-Jaani, Mätja küla, Saaremaa vald, Saare maakond",,adujaan@hot.ee,,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,14.0,14.0,0.0,0.0,0.0
Adussoni Farmhouse - majutus Lahemaal,"Ajalooline Adussoni talumaja-sepipada (1908) asub kauni Lahemaa rahvuspargi südames. Siin on ideaalne võimalus põgeneda hõivatud linnaelust ja nautida imelist ümbritsevat loodust ja ajalugu. Puhkemaja on ideaalne peredele või paaridele, kes soovivad privaatselt aega veeta. 
Meilt saad Vana-Eesti autentse kogemuse, maalähedase meeleolu ja isolatsiooni kõigest, mis meenutab igapäevaelu - see muudab selle koha eriti ainulaadseks.Kohtumine külalistega kokkuleppel. Majutuskoha jõe ääres ilus matkarada. 
Lisatasu eest võimalik tellida õhtu- ja hommikusöök, piknikukorv, massaaž, saun, kümblustünn.",Majutus,Puhkemaja,,,adussonifarmhouse@gmail.com,+372 518 7774,"Uuri küla, Kuusalu vald, Harju maakond",https://www.airbnb.com/rooms/50696266?check_in=2023-09-15&check_out=2023-09-20&guests=1&adults=1&viralityEntryPoint=1&s=76&unique_share_id=a918a035-dd99-40a3-8915-a3e59afb664c,,"Konditsioneer,Külmutuskapp,Parkimine tasuta,Peretoad,Pesumasin,Puhkeala/piknikuplats,Saun,Toitlustus,WIFI",,,https://www.instagram.com/adussoni_farmhouse?igsh=MTdtdmVhZGRueGtoYw%3D%3D&utm_source=qr,,,10420418.0,Man Baltic OÜ,"Roo tee 13, Kelvingi küla, Viimsi vald, Harju maakond",+372 5187774,adussonifarmhouse@gmail.com,,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,13.0,13.0,8.0,0.0,0.0
Aegviidu Puhkebaas,"Kaunite Kõrvemaa metsade ja järvede vahel asub Aegviidu Puhkebaas. Suurepärane paik matkasellidele ja looduse armastajatele.Puhkebaasis saab rentida erineva hinnaklassi ja tasemega ruume kas eraldi palkmajas või peamajas. Koht on sobiv nii perepuhkuseks kui ka ettevõtete mitmesugusteks üritusteks. Lisaks majutusele on palju erinevaid aktiivse puhkuse võimalusi. On olemas piljard, lauatennis ja koroona, võrkpalli- ja korvpalliplats, discgolf, rannatennis ning talviti valgustatud suusarada. Samuti on võimalus rentida tünnisauna, kas eraldi või koos palkmaja rentimisega.",Majutus,"Puhkeküla, karavanid",Telkimisplatsid,https://aegviidupuhkebaas.ee,aegviidupuhkebaas@hot.ee,+372 504 3358,"Lavassaare tn 2, Pillapalu küla, Anija vald, Harju maakond",,,"Gruppide toitlustus,Haagissuvila/karavani parkla,Jõusaal,Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,Seminariruum,Toitlustus,WC,WIFI",,https://www.facebook.com/pages/Aegviidu-Puhkebaas/325747440808015?fref=ts,,,,12845381.0,Aegviidu Tervise- ja Puhkekeskus OÜ,"Lavassaare tänav 2, Aegviidu alev, Anija vald, Harju maakond",,alo.variksoo@neti.ee,http://www.aegviidupuhkebaas.ee,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,17.0,0.0,70.0,70.0,0.0,200.0
Ahja Puhkemaja,"Ahja puhkemaja sobib suurepäraselt lõõgastumiseks neile, kes hindavad loodust, privaatsust ja aktiivset puhkust, kuid ei soovi olla liiga kaugel linnamugavustest. Kuni 5 inimest mahutav puhkemaja on ümbritsetud metsaga. Puhkemaja alumisel korrusel on köök, kus olemas on vajalikud söögiriistad ja nõud. Esimesel korrusel asub ka vannituba koos WC-ga. Teisel korrusel on üks kaheinimese ja kolm üheinimese voodit. Maja köetakse puukütte ahjuga.Lähim toidupood ja bensiinijaam asuvad Ahjal.Läheduse asuvad kalarohke Ahja jõgi, Valgesoo raba ja vaatetorn ning RMK Taevaskoja matkarada.  ",Majutus,Puhkemaja,,,ahjapuhkemaja@gmail.com,+372 5135445,"Silvia, Ahja alevik, Põlva vald, Põlva maakond",https://www.booking.com/hotel/ee/ahja-puhkemaja.et.html,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/ahjapuhkemaja/,,,,11076259.0,Kalandre OÜ,"Lillevälja tee 1 3, Veibri küla, Luunja vald, Tartu maakond",+372 5135445,ahjapuhkemaja@gmail.com,,Lõuna-Eesti,Vana-Võromaa,,Hooajaliselt,1 Mai - 31 Detsember,Ainult ettetellimisel,,,1.0,5.0,5.0,5.0,0.0,0.0
Aida puhkeküla,"Aida puhkekülas veedad meeldejääva puhkuse nautides aidaromantikat ja suitsusauna mahedat leili. 19. sajandi hõngulises talus ümbritseb Sind lummav vaikus. Peahoones asuvas kaminaga rehetoas saad korraldada seltskondlikke koosviibimisi, talus on suur suvine grillimaja kuhu mahub 70-80 inimest. Pakume heliteraapiat Gongidega. Lähedal olevale Vilsandi saarele jõuad pooletunnise paadisõiduga Papissaare sadamast, Reinu ratsatalus saab ratsutada.Liivarandadega Harilaid jääb mõne kilomeetri kaugusele, jalgratta- ja  jalgsimatkadeks on head teed.  8 km kaugusel asuvad Suuriku ja Kuriku pangad. ",Majutus,"Puhkeküla, karavanid",,https://www.loodetalu.ee,info@loodetalu.ee,+372 505 6227,"Loode, Kuralase küla, Saaremaa vald, Saare maakond",,,"Haagissuvila/karavani parkla,Parkimine tasuta,WIFI",,,,,,10891069.0,OÜ Kuralase,"Loode, Kuralase küla, Saaremaa vald, Saare maakond",+372 505 6227,valdo@loodetalu.eu,http://www.loodetalu.eu,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Mai - 31 Oktoober,Ainult ettetellimisel,,,6.0,30.0,50.0,0.0,0.0,0.0
Aidamaja Toosikannu Looduspargis,"Majutus perele Toosikannu Aidamajas!Aidamajas on kokku 16 tuba, kuhu mahub kuni 49 inimest, 2 kaupa majutudes 32 inimest. Enamikes tubades on üks kaheinimese- ja üks üheinimesevoodi ning peretubades nari. Lisaks on igas toas külmkapp, veekeedukann, WC, dušš, TV ja WiFi. Tubade ustel on mugavad ja turvalised koodlukud ning enam pole vaja omavahel võtit jagada.Teisele korrusele viib tugev trepp ning tubade uste ees on toekad pingid, et jalga puhates ja värsket õhku hingates nautida vaadet järvele. Üks tuba on kohandatud spetsiaalselt liikumisraskustega külastajate tarbeks.Tere tulemast!",Majutus,Külalistemaja,,https://toosikannu.ee/majutus/uldinfo/,info@toosikannu.ee,+372 489 8160,"Toosikannu, Jõeküla, Türi vald, Järva maakond",https://hotel.toosikannu.ee/et/,,"Invatoad,Külmutuskapp,Parkimine tasuta,Peretoad,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/toosikannu,https://www.instagram.com/toosikannu,,,11142720.0,Toosikannu OÜ,"Toosikõnnu, Jõeküla, Türi vald, Järva maakond",+372 56935465,info@toosikannu.ee,http://www.toosikannu.ee,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,16.0,32.0,49.0,0.0,0.0,0.0
